IID,Adults,Children,People,Start,End
1,2.0,2.0,4.0,2010-09-09,2012-05-12
2,2.0,2.0,4.0,2010-07-29,2011-12-16
3,3.0,1.0,4.0,2010-07-29,2012-01-17
4,2.0,0.0,2.0,2010-10-06,2011-07-26
5,2.0,2.0,4.0,2010-07-29,2012-05-12
6,2.0,0.0,2.0,2010-09-02,2011-12-12
7,1.0,0.0,1.0,2010-07-29,2011-08-19
8,2.0,1.0,3.0,2010-07-29,2012-04-10
9,2.0,2.0,4.0,2010-09-22,2013-02-20
10,1.0,0.0,1.0,2010-09-23,2012-02-01
11,2.0,1.0,3.0,2010-09-08,2011-12-16
12,2.0,2.0,4.0,2010-09-13,2011-12-12
13,2.0,0.0,2.0,2010-09-13,2012-04-09
14,2.0,2.0,4.0,2010-09-04,2012-03-23
15,2.0,2.0,4.0,2010-07-30,2011-09-30
16,2.0,0.0,2.0,2010-07-30,2012-04-20
17,2.0,2.0,4.0,2010-09-18,2012-04-10
18,2.0,1.0,3.0,2010-09-03,2012-04-16
19,2.0,2.0,4.0,2010-09-04,2012-01-08
20,2.0,1.0,3.0,2010-09-28,2011-12-16
21,2.0,0.0,2.0,2010-09-20,2012-05-12
22,2.0,1.0,3.0,2010-09-29,2012-01-23
23,3.0,0.0,3.0,2010-10-01,2011-11-16
24,2.0,0.0,2.0,2012-08-01,2013-05-25
25,2.0,2.0,4.0,2012-08-01,2013-05-25
26,2.0,2.0,4.0,2012-08-01,2013-05-25
27,,,,2012-08-01,2013-05-25
28,2.0,1.0,3.0,2012-08-01,2013-05-25
29,,,,2012-08-01,2013-05-25
30,,,,2012-08-10,2013-04-23
31,,,,2012-08-29,2013-04-23
32,,,,2012-08-10,2013-04-23
33,,,,2012-08-10,2013-04-23
34,,,,2012-08-10,2013-04-23
35,,,,2012-08-10,2013-04-23
36,2.0,1.0,3.0,2012-08-01,2013-05-21
37,,,,2012-08-01,2013-05-21
38,,,,2012-08-01,2013-05-21
39,,,,2012-08-01,2013-05-21
40,2.0,3.0,5.0,2012-08-01,2013-05-21
41,,,,2013-07-31,2014-03-10
42,,,,2013-07-31,2014-03-10
43,,,,2013-07-31,2014-03-10
44,2.0,0.0,2.0,2013-07-31,2014-03-10
45,,,,2013-07-31,2014-03-10
46,1.0,1.0,2.0,2013-07-31,2014-03-10
47,1.0,0.0,1.0,2013-08-10,2014-03-10
48,,,,2013-08-10,2014-03-10
49,1.0,1.0,2.0,2013-08-20,2014-03-10
50,2.0,2.0,4.0,2013-08-16,2014-03-10
